Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descritivo/Detalhamento;Link do Estudo de Regionalização;Município
137;2019;2018;;04/10/2019;SANTA CATARINA;Arroio Trinta;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Arroio Trinta
137;2019;2018;;04/10/2019;SANTA CATARINA;Caçador;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Caçador
137;2019;2018;;04/10/2019;SANTA CATARINA;Calmon;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Calmon
137;2019;2018;;04/10/2019;SANTA CATARINA;Fraiburgo;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Fraiburgo
137;2019;2018;;04/10/2019;SANTA CATARINA;Macieira;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Macieira
137;2019;2018;;04/10/2019;SANTA CATARINA;Matos Costa;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Matos Costa
137;2019;2018;;04/10/2019;SANTA CATARINA;Pinheiro Preto;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Pinheiro Preto
137;2019;2018;;04/10/2019;SANTA CATARINA;Rio das Antas;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Rio das Antas
137;2019;2018;;04/10/2019;SANTA CATARINA;Tangará;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Tangará
137;2019;2018;;04/10/2019;SANTA CATARINA;Videira;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Videira
137;2019;2018;;04/10/2019;SANTA CATARINA;Abdon Batista;SC;Região de Campos Novos.;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Abdon Batista
137;2019;2018;;04/10/2019;SANTA CATARINA;Anita Garibaldi;SC;Região de Campos Novos.;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Anita Garibaldi
137;2019;2018;;04/10/2019;SANTA CATARINA;Campos Novos;SC;Região de Campos Novos.;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Campos Novos
137;2019;2018;;04/10/2019;SANTA CATARINA;Celso Ramos;SC;Região de Campos Novos.;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Celso Ramos
137;2019;2018;;04/10/2019;SANTA CATARINA;Zortéa;SC;Região de Campos Novos.;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Zortéa
137;2019;2018;;04/10/2019;SANTA CATARINA;Bela Vista do Toldo;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Bela Vista do Toldo
137;2019;2018;;04/10/2019;SANTA CATARINA;Canoinhas;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Canoinhas
137;2019;2018;;04/10/2019;SANTA CATARINA;Irineópolis;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Irineópolis
137;2019;2018;;04/10/2019;SANTA CATARINA;Itaiópolis;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Itaiópolis
137;2019;2018;;04/10/2019;SANTA CATARINA;Mafra;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Mafra
137;2019;2018;;04/10/2019;SANTA CATARINA;Major Vieira;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Major Vieira
137;2019;2018;;04/10/2019;SANTA CATARINA;Monte Castelo;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Monte Castelo
137;2019;2018;;04/10/2019;SANTA CATARINA;Papanduva;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Papanduva
137;2019;2018;;04/10/2019;SANTA CATARINA;Porto União;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Porto União
137;2019;2018;;04/10/2019;SANTA CATARINA;Timbó Grande;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Timbó Grande
137;2019;2018;;04/10/2019;SANTA CATARINA;Águas de Chapecó;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Águas de Chapecó
137;2019;2018;;04/10/2019;SANTA CATARINA;Águas Frias;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Águas Frias
137;2019;2018;;04/10/2019;SANTA CATARINA;Caxambu do Sul;SC;Região de Chapecó;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Caxambu do Sul
